texto,vader_pt,vader_en_label,bertimbau
"A proposta continua sendo analisada na Câmara dos Deputados

🔔 l Leia a matéria completa em https://t.co/ul7IHa54Qo e siga @iMaranhense em todas as plataformas digitais.

🔎 hashtags:
#imaranhense #noticias #news #saoluis #maranhao #slz #politica #ur… https://t.co/L8eNgoTL2t https://t.co/Nt0I812xcA",Positivo (0.46),positivo (0.46),Positivo (0.75)
Deputados pedem redução do ICMS após anúncio de corte no IPVA no Paraná #Economia #Geral #Paraná #Política #ÚltimasNotícias https://t.co/oJ8icRKZNt,Negativo (-0.08),negativo (-0.13),Negativo (0.00)
"[#Politica] A Polícia Federal solicitou ao ministro Moraes autorização para manter vigilância policial na casa de Bolsonaro, visando garantir a prisão domiciliar e evitar fuga antes de seu julgamento. O jornalista Thiago Pereira comenta o caso.

 Acesse: https://t.co/Ib3eyV8eq0 https://t.co/pzK0yMjRch",Neutro (0.00),negativo (-0.13),Negativo (0.00)
"Propostas seguem para análise do Senado

🔔 l Leia a matéria completa em https://t.co/ul7IHa54Qo e siga @iMaranhense em todas as plataformas digitais.

🔎 hashtags:
#imaranhense #noticias #news #saoluis #maranhao #slz #politica #urgente #nordeste

©… https://t.co/03z0zQdJ5g https://t.co/EcHqUVCC7I",Positivo (0.46),positivo (0.59),Positivo (0.75)
"Publicação afirmou erroneamente que promotores investigavam secretário de Taku Ikeshita, quando na verdade a busca ocorreu no gabinete de outro político

https://t.co/H70NoFkMZG

#Checagem #Desculpas #Fraude #Japão #Osaka #Pedido #Reportagem #Responsabilidade #Politica",Negativo (-0.30),neutro (0.00),Negativo (0.00)
"Os rumos do PT em Goiás

📲 Leia agora em O Popular: https://t.co/IzvssnetSg

#LeiaAgora #OPopular #Política #Giro360 https://t.co/scnEy6Q1aM",Positivo (0.42),positivo (0.42),Negativo (0.00)
"‼️ PT debocha de saúde de Bolsonaro: ""Uma doença bem seletiva""
#política #saúde #bolsonaro #pt

https://t.co/SVZFK1pw2j",Neutro (0.00),negativo (-0.40),Negativo (0.00)
"RT @VerdadeBrasilB: ""O Brasil está dando uma lição aos Estados Unidos e a outros países que hoje se encontram submetidos a líderes autocrát…",Neutro (0.00),positivo (0.64),Negativo (0.00)
"União Brasil e PP lançam o ministro do Turismo, Celso Sabino, como candidato ao Senado. Ele comandará a Federação no Pará. Partidos acreditam em sua vitória e buscam ampliar maioria no Senado.
#Política #CelsoSabino #Senado https://t.co/CJMatzZhJb",Negativo (-0.53),positivo (0.61),Neutro (0.50)
"""O Brasil está dando uma lição aos Estados Unidos e a outros países que hoje se encontram submetidos a líderes autocráticos.""
@UOL @UOLNoticias @UOLPolitica
#Política #Brasil #Eleições2025 #Lula #Bolsonaro #Governo #Viral #Trending #FalaSério https://t.co/JaPgMRHCfk",Neutro (0.00),positivo (0.64),Negativo (0.00)
"#Política: “Uma perversidade”; ACM Neto aponta descaso no Hospital Regional de Juazeiro.

https://t.co/OqywzNP6gJ",Negativo (-0.30),negativo (-0.46),Negativo (0.00)
"RT @Oinegue: #Opinião | 🗣 analisando o novo Lula “vitaminado”. O presidente, antes visto como enfraquecido e sem fôlego para 2026, ganhou d…",Neutro (0.00),positivo (0.34),Negativo (0.00)
"RT @BloombergLineaB: Lula vê aprovação cair e fica atrás de Tarcísio em pesquisa para 2026, aponta Atlas. Saiba mais: https://t.co/W94tpirH…",Neutro (0.00),positivo (0.48),Negativo (0.00)
"#Política | TRE-CE define data para julgar recurso contra decisão que cassou mandato de Bebeto do Choró
https://t.co/asnODtSHkN",Neutro (0.00),negativo (-0.42),Negativo (0.00)
"#Política | Oscar e Moses Rodrigues se alinham à reeleição do governador Elmano
https://t.co/NQtSqEntXs",Neutro (0.00),neutro (0.00),Positivo (0.75)
"Senador Beto Faro (PA) critica a Costa Cruzeiros: transatlânticos contratados para a COP 30 em Belém barram reservas de cidadãos de 20 países sob sanções dos EUA. Para ele, a medida fere a soberania do Brasil e agrava a crise de hospedagem.
#COP30 #Amazônia #Política https://t.co/YLVjvY5LDP",Negativo (-0.25),negativo (-0.90),Negativo (0.00)
"#Política: Lula assina recondução de Paulo Gonet à PGR às vésperas de julgamento sobre tentativa de golpe.

https://t.co/T1fa4PgyS0",Neutro (0.00),neutro (0.00),Negativo (0.00)
"Câmara aprova urgência do PL 1087/25: isenção de IR para quem ganha até R$ 5 mil/mês pode beneficiar 26,1 milhões de pessoas. PL e PP resistem à proposta por prever taxação dos super-ricos (acima de R$ 50 mil/mês).
#ImpostoDeRenda #Política https://t.co/ueHXbOUs7T",Neutro (0.00),positivo (0.92),Negativo (0.00)
"👉 STF terá reforço na segurança durante julgamento de Jair Bolsonaro; saiba mais
#política #STF #bolsonaro #julgamento

https://t.co/7GQGPrjalJ",Neutro (0.00),positivo (0.42),Neutro (0.50)
"Para ler a notícia completa, acesse o nosso portal de notícias Blockchain:
https://t.co/nzdoToiNiy
#bitcoin #blockchain #btc #criptomoedas #economia #tarifaço #trump #política #donaltrump https://t.co/boUyqwqwdI",Neutro (0.00),neutro (0.00),Negativo (0.00)
